"Title","Category","ActionType","Service","MaxScore","Tier","UserImpact","ImplementationCost","Threats"
"Ensure Spam confidence level (SCL) is configured in mail transport rules with specific domains","Apps","Config","EXO","3","Core","Unknown","Unknown","Data Exfiltration"
"Ensure internal phishing protection for Forms is enabled","Apps","Config","FORMS","6","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Ensure user consent to apps accessing company data on their behalf is not allowed","Identity","Config","AzureAD","4","Defense In Depth","Moderate","Low","Data Exfiltration; Data Spillage"
"Ensure Microsoft Defender for Cloud Apps is enabled and configured","Apps","Config","MCAS","5","Core",,"Unknown","Account breach; Data Exfiltration"
"Deploy a log collector to discover shadow IT activity","Apps","Config","MCAS","1","Advanced","Low","Moderate","Data Exfiltration"
"Enable multi-factor authentication (MFA)","Identity","Config","MDA_Atlassian","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enable Single Sing On (SSO)","Identity","Config","MDA_Atlassian","7","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable session timeout for web users","Identity","Config","MDA_Atlassian","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Atlassian mobile app security - App access requirement","Identity","Config","MDA_Atlassian","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Atlassian mobile app security - App data protection","Apps","Config","MDA_Atlassian","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Atlassian mobile app security - Users that are affected by policies","Identity","Config","MDA_Atlassian","3","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable Password expiration policies","Identity","Config","MDA_Atlassian","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable multi-factor authentication (MFA)","Identity","Config","MDA_CitrixSF","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enable Single Sign on (SSO)","Identity","Config","MDA_CitrixSF","7","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable session timeout for web users","Identity","Config","MDA_CitrixSF","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enhance 'login maximum attempts' - Lockout timer","Identity","Config","MDA_CitrixSF","6","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enhance 'login maximum attempts' - Number of attempts","Identity","Config","MDA_CitrixSF","6","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enable password minimum length","Identity","Config","MDA_CitrixSF","4","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enable password minimum numeric characters","Identity","Config","MDA_CitrixSF","4","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enable password minimum special characters","Identity","Config","MDA_CitrixSF","4","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enable password expiration policies","Identity","Config","MDA_CitrixSF","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enhance password requirements","Identity","Config","MDA_DocuSign","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Password expiry requirements","Identity","Config","MDA_DocuSign","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable session timeout for web users","Identity","Config","MDA_DocuSign","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable web session timeout for web users","Identity","Config","MDA_Dropbox","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Disable 'Allow members to view dependency insights'","Identity","Config","MDA_GitHub","4","Core","Unknown","Unknown","Data Exfiltration"
"Enabled 'email notification delivery for this enterprise is restricted to verified or approved domains'","Apps","Config","MDA_GitHub","3","Core","Unknown","Unknown","Data Exfiltration"
"Enforce IP allow list configuration for org resources","Identity","Config","MDA_GitHub","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Disable 'Allow repository administrators to invite outside collaborators to repositories for this organization","Identity","Config","MDA_GitHub","4","Core","Unknown","Unknown","Data Exfiltration"
"Disable private repository forking","Apps","Config","MDA_GitHub","7","Core","Unknown","Unknown","Data Exfiltration"
"Disable 'Members will be able to create public repositories, visible to anyone'","Identity","Config","MDA_GitHub","4","Core","Unknown","Unknown","Data Exfiltration"
"Disable 'members with admin permissions for repositories can delete or transfer repositories'","Identity","Config","MDA_GitHub","6","Core","Unknown","Unknown","Data Exfiltration"
"Disable 'Allow members to change repository visibilities for this organization'","Apps","Config","MDA_GitHub","6","Core","Unknown","Unknown","Data Exfiltration"
"Enable single sign on (SSO)","Identity","Config","MDA_GitHub","3","Core","Unknown","Unknown","Data Exfiltration"
"Enable multi-factor authentication (MFA)","Identity","Config","MDA_Google","7","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Adopt SSO (Single sign on) in netDocuments","Identity","Config","MDA_NetDocuments","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enhance password requirements","Identity","Config","MDA_Okta","4","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enable multi-factor authentication","Identity","Config","MDA_Okta","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Password expiry requirements","Identity","Config","MDA_Okta","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable session timeout for web users","Identity","Config","MDA_Okta","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Remote Site","Apps","Config","MDA_SF","5","Core","Unknown","Unknown",""
"Disable Administrators Can Log In As Any User","Identity","Config","MDA_SF","3","Core","Unknown","Unknown","Account breach; Elevation of Privilege; Data Exfiltration; Data Deletion; Malicious Insider"
"Disable Caching and Autocomplete on Login Page via Session settings","Identity","Config","MDA_SF","4","Core","Unknown","Unknown",""
"Enable clickjack protection for non-Setup for Salesforce pages","Apps","Config","MDA_SF","3","Core","Unknown","Unknown",""
"Enable clickjack protection for customer VisualForce pages with standard headers","Apps","Config","MDA_SF","3","Core","Unknown","Unknown",""
"Enable clickjack protection for customer VisualForce pages with headers disabled","Apps","Config","MDA_SF","3","Core","Unknown","Unknown",""
"Enable clickjack protection for Setup pages","Apps","Config","MDA_SF","3","Core","Unknown","Unknown",""
"Enable Content Sniffing protection","Apps","Config","MDA_SF","3","Core","Unknown","Unknown",""
"Enable Content Security Policy protection for email templates","Apps","Config","MDA_SF","3","Core","Unknown","Unknown",""
"Enable CSRF protection on GET requests on non-setup pages","Apps","Config","MDA_SF","3","Core","Unknown","Unknown",""
"Enable CSRF protection on POST requests on non-setup pages","Apps","Config","MDA_SF","3","Core","Unknown","Unknown",""
"Require identity verification during multi-factor authentication (MFA) registration","Identity","Config","MDA_SF","7","Core","Unknown","Unknown","Password cracking; Account breach"
"Let users verify their identity by text (SMS)","Identity","Config","MDA_SF","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Enforce login IP ranges on every request","Identity","Config","MDA_SF","5","Core","Unknown","Unknown",""
"Force logout on session timeout","Identity","Config","MDA_SF","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Force (admin) relogin after Login-As-User","Identity","Config","MDA_SF","3","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Require identity verification for change of email address","Identity","Config","MDA_SF","5","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Lock sessions to the domain in which they were first used","Identity","Config","MDA_SF","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Maximum invalid login attempts","Identity","Config","MDA_SF","5","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Require a minimum 1 day password lifetime","Identity","Config","MDA_SF","5","Core","Unknown","Unknown",""
"Password complexity requirement","Identity","Config","MDA_SF","4","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"User passwords expire in 90 days or less","Identity","Config","MDA_SF","5","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Enforce password history","Identity","Config","MDA_SF","4","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Lockout effective period","Identity","Config","MDA_SF","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Minimum password length","Identity","Config","MDA_SF","4","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Obscure secret answer for password resets","Identity","Config","MDA_SF","3","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Password question requirement","Identity","Config","MDA_SF","3","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Session timeout","Identity","Config","MDA_SF","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Data Deletion; Malicious Insider"
"Require HttpOnly attribute","Apps","Config","MDA_SF","3","Core","Unknown","Unknown",""
"Enable multi-factor authentication","Identity","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable enforcing JSONv2 requests with basic authorization","Identity","Config","MDA_SNOW","5","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable enforcing SOAP requests with basic authorization","Identity","Config","MDA_SNOW","5","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable unload request authorization","Identity","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable script request authorization","Identity","Config","MDA_SNOW","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable URL allow list for cross-origin iframe communication","Apps","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable Password Reset Policy Checks","Identity","Config","MDA_SNOW","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable high security plugin","Apps","Config","MDA_SNOW","7","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Set default cache-control HTTP header value to private","Apps","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Disable password-less authentication","Identity","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable Contextual Security: Role Management plugin","Identity","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Set client-callable script includes to private","Apps","Config","MDA_SNOW","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Apply access control rule (ACL) validation when server-side records are accessed using GlideAjax APIs within a client script","Apps","Config","MDA_SNOW","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable client generated scripts sandbox","Apps","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable default deny with new ACL rules","Apps","Config","MDA_SNOW","5","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable managing failed login attempts","Identity","Config","MDA_SNOW","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable SOAP content type checking","Apps","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable SOAP request strict security","Apps","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Activate security jump start (ACL rules) plugin","Identity","Config","MDA_SNOW","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable session activity timeout","Identity","Config","MDA_SNOW","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable anti-CSRF token","Identity","Config","MDA_SNOW","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable absolute session timeout","Identity","Config","MDA_SNOW","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Adopt SSO (Single sign on) in Workplace by Meta","Identity","Config","MDA_Workplace","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Block admins to set passwords","Identity","Config","MDA_Zendesk","3","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Block account assumption","Identity","Config","MDA_Zendesk","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Block customers to bypass IP restrictions","Identity","Config","MDA_Zendesk","3","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Send a notification on password change for admins, agents, and end users","Identity","Config","MDA_Zendesk","3","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Admins and agents can use the Zendesk Support mobile app","Apps","Config","MDA_Zendesk","3","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable IP restrictions","Identity","Config","MDA_Zendesk","3","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable and adopt two-factor authentication (2FA)","Identity","Config","MDA_Zendesk","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enable session timeout for users","Identity","Config","MDA_Zendesk","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable external Authentication (google or microsoft or SSO)","Identity","Config","MDA_Zendesk","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Enable Zendesk authentication","Identity","Config","MDA_Zendesk","7","Core","Unknown","Unknown","Account breach; Data Exfiltration; Password Cracking"
"Block users in specific domains from joining meetings and webinars","Apps","Config","MDA_Zoom","3","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enforce end to end encryption in all Zoom meetings","Apps","Config","MDA_Zoom","3","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable multi-factor authentication","Apps","Config","MDA_Zoom","7","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enhance password requirements","Apps","Config","MDA_Zoom","4","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable session timeout for client users","Apps","Config","MDA_Zoom","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Enable session timeout for web users","Apps","Config","MDA_Zoom","6","Core","Unknown","Unknown","Account breach; Data Exfiltration"
"Ensure that no sender domains are allowed for anti-spam policies","Apps","Config","MDO","2","Core","Unknown","Medium",""
"Ensure that an anti-phishing policy has been created","Apps","Config","MDO","3","Core","Unknown","Unknown","Data Exfiltration; Account breach; Password Cracking"
"Turn on Microsoft Defender for Office 365 in SharePoint, OneDrive, and Microsoft Teams","Apps","Config","MDO","5","Core","High","Medium",""
"Set automatic email forwarding rules to be system controlled","Apps","Config","MDO","1","Core","Unknown","Medium",""
"Ensure all forms of mail forwarding are blocked and/or disabled","Apps","Config","MDO","5","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Set action to take on bulk spam detection","Apps","Config","MDO","3","Core","Unknown","Medium",""
"Set the email bulk complaint level (BCL) threshold to be 6 or lower","Apps","Config","MDO","1","Core","Unknown","Medium",""
"Ensure the Common Attachment Types Filter is enabled","Apps","Config","MDO","5","Core","High","Medium",""
"Don't add allowed IP addresses in the connection filter policy ","Apps","Config","MDO","1","Core","Unknown","Medium",""
"Enable impersonated domain protection","Apps","Config","MDO","8","Core","Unknown","Medium",""
"Ensure that mailbox intelligence is enabled","Apps","Config","MDO","8","Core","Unknown","Medium",""
"Set action to take on high confidence phishing detection","Apps","Config","MDO","5","Core","Unknown","Medium",""
"Set action to take on high confidence spam detection","Apps","Config","MDO","5","Core","Unknown","Medium",""
"Ensure that intelligence for impersonation protection is enabled","Apps","Config","MDO","8","Core","Unknown","Medium",""
"Move messages that are detected as impersonated users by mailbox intelligence","Apps","Config","MDO","8","Core","Unknown","Medium",""
"Set the phishing email level threshold at 2 or higher","Apps","Config","MDO","8","Core","Unknown","Medium",""
"Set action to take on phishing detection","Apps","Config","MDO","5","Core","Unknown","Medium",""
"Retain spam in quarantine for 30 days","Apps","Config","MDO","1","Core","Unknown","Medium",""
"Set maximum number of external recipients that a user can email per hour","Apps","Config","MDO","1","Core","Unknown","Medium",""
"Set maximum number of internal recipients that a user can send to within an hour","Apps","Config","MDO","1","Core","Unknown","Medium",""
"Set a daily message limit","Apps","Config","MDO","1","Core","Unknown","Medium",""
"Ensure Safe Attachments policy is enabled","Apps","Config","MDO","5","Core","Unknown","Unknown","Data Exfiltration; Account breach"
"Turn on Safe Attachments in block mode","Apps","Config","MDO","8","Core","High","Medium",""
"Turn on Safe Documents for Office Clients","Apps","Config","MDO","5","Core","High","Medium",""
"Create Safe Links policies for email messages","Apps","Config","MDO","9","Core","High","Medium",""
"Ensure Safe Links for Office Applications is Enabled","Apps","Config","MDO","3","Core","Unknown","Unknown","Data Exfiltration; Account breach; Password Cracking"
"Enable the domain impersonation safety tip","Apps","Config","MDO","3","Core","Unknown","Medium",""
"Enable the user impersonation safety tip","Apps","Config","MDO","3","Core","Unknown","Medium",""
"Ensure Exchange Online Spam Policies are set to notify administrators","Apps","Config","MDO","3","Core","Unknown","Unknown","Data Exfiltration; Password Cracking; Account breach"
"Set action to take on spam detection","Apps","Config","MDO","5","Core","Unknown","Medium",""
"Quarantine messages that are detected from impersonated domains","Apps","Config","MDO","6","Core","Unknown","Medium",""
"Quarantine messages that are detected from impersonated users","Apps","Config","MDO","6","Core","Unknown","Medium",""
"Enable impersonated user protection","Apps","Config","MDO","8","Core","Unknown","Medium",""
"Block users who reached the message limit","Apps","Config","MDO","1","Core","Unknown","Medium",""
"Enable the user impersonation unusual characters safety tip ","Apps","Config","MDO","3","Core","Unknown","Medium",""
"Create zero-hour auto purge policies for malware","Apps","Config","MDO","6","Core","High","Medium",""
"Create zero-hour auto purge policies for phishing messages","Apps","Config","MDO","3","Core","High","Medium",""
"Create zero-hour auto purge policies for spam messages","Apps","Config","MDO","1","Core","High","Medium",""
"Restrict anonymous users from starting Teams meetings","Apps","Config","MS Teams","1","Core","low","low",""
"Only invited users should be automatically admitted to Teams meetings","Apps","Config","MS Teams","2","Core","low","low",""
"Configure which users are allowed to present in Teams meetings","Apps","Config","MS Teams","2","Core","low","low",""
